subset,model,auc_recomputed,pr_auc_recomputed,excess_pr_over_prevalence_recomputed,prevalence_recomputed,n_rows_recomputed,negatives_recomputed,auc_paper,pr_auc_paper,excess_pr_over_prevalence_paper,prevalence_paper,n_rows_paper,negatives_paper,auc_abs_error,pr_auc_abs_error,excess_pr_over_prevalence_abs_error,prevalence_abs_error
expression_supported_same_cell,Structural-prior control,0.4634895887070654,0.9900496085503878,0.001039839456249303,0.9890097690941385,108096,1188,0.4634895887070653,0.9900496085503878,0.0010398394562493,0.9890097690941384,108096,1188,1.1102230246251565e-16,0.0,3.0357660829594124e-18,1.1102230246251565e-16
expression_supported_same_cell,FRoGS-shortlist,0.5419241491378282,0.9909481232778728,0.0019383541837343365,0.9890097690941385,108096,1188,0.5419241491378282,0.9909481232778728,0.0019383541837343,0.9890097690941384,108096,1188,0.0,0.0,3.664603343001005e-17,1.1102230246251565e-16
expression_supported_same_cell,GMPTI-shortlist,0.5523399142772809,0.991004821535002,0.0019950524408635095,0.9890097690941385,108096,1188,0.552339914277281,0.991004821535002,0.0019950524408635,0.9890097690941384,108096,1188,1.1102230246251565e-16,0.0,9.540979117872439e-18,1.1102230246251565e-16
expression_supported_same_cell,Context-aware fusion control,0.6670885026667568,0.9921571787428514,0.003147409648712851,0.9890097690941385,108096,1188,0.6670885026667569,0.9921571787428514,0.0031474096487128,0.9890097690941384,108096,1188,1.1102230246251565e-16,0.0,5.117434254131581e-17,1.1102230246251565e-16
expression_supported_same_cell,VCCV,0.6972308249177146,0.9932082704056523,0.00419850131151378,0.9890097690941385,108096,1188,0.6972308249177146,0.9932082704056524,0.0041985013115137,0.9890097690941384,108096,1188,0.0,1.1102230246251565e-16,8.066464163292153e-17,1.1102230246251565e-16
expression_supported_same_cell_power_augmented,Structural-prior control,0.46392187566852855,0.9890277727654155,0.0008238010808950813,0.9882039716845205,159630,1883,0.4639218756685286,0.9890277727654156,0.000823801080895,0.9882039716845205,159630,1883,5.551115123125783e-17,1.1102230246251565e-16,8.131516293641283e-17,0.0
expression_supported_same_cell_power_augmented,FRoGS-shortlist,0.5377616687659689,0.9900665708840842,0.0018625991995637747,0.9882039716845205,159630,1883,0.5377616687659689,0.9900665708840842,0.0018625991995637,0.9882039716845205,159630,1883,0.0,0.0,7.48099499014998e-17,0.0
expression_supported_same_cell_power_augmented,GMPTI-shortlist,0.5425552268717656,0.9899645281270122,0.0017605564424917342,0.9882039716845205,159630,1883,0.5425552268717656,0.9899645281270122,0.0017605564424917,0.9882039716845205,159630,1883,0.0,0.0,3.426078865054194e-17,0.0
expression_supported_same_cell_power_augmented,Context-aware fusion control,0.6505287827179832,0.991111994851374,0.0029080231668535683,0.9882039716845205,159630,1883,0.6505287827179832,0.991111994851374,0.0029080231668535,0.9882039716845205,159630,1883,0.0,0.0,6.852157730108388e-17,0.0
expression_supported_same_cell_power_augmented,VCCV,0.6751216691923121,0.9919290872871369,0.003725115602616458,0.9882039716845205,159630,1883,0.6751216691923121,0.9919290872871368,0.0037251156026164,0.9882039716845205,159630,1883,0.0,1.1102230246251565e-16,5.767955557622884e-17,0.0
