scenario,model,mrr,hits1,hits3,nll
virtual,VCCV_Full,0.6251028806584362,0.4012345679012346,0.8395061728395061,13.466649277123713
virtual,DTI_Prior_Only,0.015594065320287946,0.002917341977309562,0.006482982171799027,12.700550039520511
virtual,Nearest_ObservedDo,0.0575423374542825,0.02301458670988655,0.06482982171799027,12.526665434791678
virtual,Nearest_VirtualDo,0.028075172669337047,0.014586709886547812,0.039222042139384114,13.879763506746016
virtual,No_Align_Ablation,0.03353631336548585,0.021717990275526743,0.04343598055105349,13.879759037026806
virtual,Null_Only,1.0000000000000003e-09,0.0,0.0,12.134903395003933
ablation,VCCV_Full,0.6251028806584362,0.4012345679012346,0.8395061728395061,13.466649277123713
ablation,No_Align_Ablation,0.03353631336548585,0.021717990275526743,0.04343598055105349,13.879759037026806
ablation,Nearest_ObservedDo,0.0575423374542825,0.02301458670988655,0.06482982171799027,12.526665434791678
ablation,Nearest_VirtualDo,0.028075172669337047,0.014586709886547812,0.039222042139384114,13.879763506746016
