rank,reg,cal_mse,fro_norm_B_minus_I,beta_lof,beta_gof
8,0.1,0.14679193496704102,0.8108597993850708,0.5649511814117432,0.5498339533805847
8,0.001,0.14814046025276184,0.8018664717674255,0.5613796710968018,0.5498339533805847
4,0.001,0.14982320368289948,0.789525032043457,0.5642202496528625,0.5498339533805847
16,0.1,0.15009675920009613,0.8526943325996399,0.5649827122688293,0.5498339533805847
4,0.01,0.1504545658826828,0.7695271372795105,0.5702326893806458,0.5498339533805847
4,0.1,0.1516890823841095,0.7646533846855164,0.563843309879303,0.5498339533805847
16,0.001,0.15206751227378845,0.8132819533348083,0.559339702129364,0.5498339533805847
16,0.01,0.153638556599617,0.8367587327957153,0.5568312406539917,0.5498339533805847
8,0.01,0.15457016229629517,0.8296859860420227,0.5646847486495972,0.5498339533805847
